path,template
/fragments/resources/modal/forms/webinars/resources/webinars/develop-an-automotive-system-of-record-with-adobe,Essential
/fragments/resources/modal/forms/webinars/resources/webinars/develop-an-automotive-system-of-record-with-adobe-new,Essential
/fragments/resources/modal/forms/webinars/resources/webinars/develop-an-automotive-system-of-record-with-adobe-old,Essential
/fragments/resources/modal/forms/white-form,Essential
/fragments/resources/modal/forms/workfront,Essential
/gr_en/products/workfront/get-demo,Full
/gr_en/resources/enterprise-project-management,Essential
/hk_en/products/workfront/get-demo,Full
/hk_en/resources/enterprise-project-management,Essential
/hk_zh/products/workfront/get-demo,Full
/hk_zh/resources/enterprise-project-management,Essential
/hu/products/workfront/get-demo,Full
/hu/resources/enterprise-project-management,Essential
/id_en/products/workfront/get-demo,Full
/id_en/resources/enterprise-project-management,Essential
/id_en/resources/reports/state-of-work,Essential
/id_id/products/workfront/get-demo,Full
/id_id/resources/enterprise-project-management,Essential
/id_id/resources/reports/state-of-work,Essential
/ie/products/workfront/get-demo,Full
/ie/resources/enterprise-project-management,Essential
/ie/resources/reports/state-of-work,Essential
/il_en/products/workfront/get-demo,Full
/il_en/resources/enterprise-project-management,Essential
/il_he/products/workfront/get-demo,Full
/il_he/resources/enterprise-project-management,Essential
/in/products/workfront/get-demo,Full
/in/resources/enterprise-project-management,Essential
/in/resources/reports/state-of-work,Essential
/in_hi/products/workfront/get-demo,Full
/in_hi/resources/enterprise-project-management,Essential
/in_hi/resources/reports/state-of-work,Essential
/it/products/workfront/get-demo,Full
/it/resources/enterprise-project-management,Essential
/it/resources/reports/state-of-work,Essential
/jp/products/workfront/get-demo,Full
/jp/resources/reports/state-of-work,Essential
/kr/products/workfront/get-demo,Full
/la/products/workfront/get-demo,Full
/la/resources/ebooks/creando-compromisos-unicos-con-los-clientes,Essential
/la/resources/ebooks/la-potencia-interna,Essential
/la/resources/ebooks/modernize-your-martech-stack,Essential
/la/resources/enterprise-project-management,Essential
/la/resources/guides/guia-completa-de-gestion-del-trabajo-para-profesionales-de-marketing,Essential
/la/resources/infographics/one-page-adobe-experience-manager,Essential
/la/resources/infographics/one-page-adobe-real-time-cdp,Essential
/la/resources/reports/benetton-case-study,Essential
/la/resources/reports/special-edition-tr-mit-5g-desafios-posibilidades,Essential
/la/resources/webinars/3-claves-para-gestionar-multiples-campanas-de-marketing,Essential
/la/resources/webinars/3-claves-para-gestionar-multiples-campanas-de-marketing1,Essential
/lt/products/workfront/get-demo,Full
/lt/resources/enterprise-project-management,Essential
/lu_de/products/workfront/get-demo,Full
/lu_de/resources/enterprise-project-management,Essential
/lu_en/products/workfront/get-demo,Full
/lu_en/resources/enterprise-project-management,Essential
/lu_fr/products/workfront/get-demo,Full
/lu_fr/resources/enterprise-project-management,Essential
/lv/products/workfront/get-demo,Full
/lv/resources/enterprise-project-management,Essential
/mena_ar/products/workfront/get-demo,Full
/mena_ar/resources/enterprise-project-management,Essential
/mena_en/products/workfront/get-demo,Full
/mena_en/resources/enterprise-project-management,Essential
/mx/products/workfront/get-demo,Full
/mx/resources/ebooks/creando-compromisos-unicos-con-los-clientes,Essential
/mx/resources/ebooks/modernize-your-martech-stack,Essential
/mx/resources/guides/guia-completa-de-gestion-del-trabajo-para-profesionales-de-marketing,Essential
/mx/resources/infographics/one-page-adobe-experience-manager,Essential
/mx/resources/infographics/one-page-adobe-real-time-cdp,Essential
/mx/resources/reports/benetton-case-study,Essential
/mx/resources/webinars/3-claves-para-gestionar-multiples-campanas-de-marketing,Essential
/my_en/products/workfront/get-demo,Full
/my_en/resources/enterprise-project-management,Essential
/my_ms/products/workfront/get-demo,Full
/my_ms/resources/enterprise-project-management,Essential
/my_ms/resources/reports/state-of-work,Essential
/nl/products/workfront/get-demo,Full
/nl/resources/articles/3-steps-to-streamline-it-operations-and-connect-strategy-to-execution,Essential
/nl/resources/articles/7-steps-align-strategy-and-execution-business-outcomes,Essential
/nl/resources/enterprise-project-management,Essential
/no/products/workfront/get-demo,Full
/no/resources/enterprise-project-management,Essential
/nz/products/workfront/get-demo,Full
/nz/resources/enterprise-project-management,Essential
/pe/products/workfront/get-demo,Full
/pe/resources/ebooks/modernize-your-martech-stack,Essential
/pe/resources/enterprise-project-management,Essential
/pe/resources/infographics/one-page-adobe-experience-manager,Essential
/pe/resources/infographics/one-page-adobe-real-time-cdp,Essential
/pe/resources/reports/benetton-case-study,Essential
/pe/resources/reports/special-edition-tr-mit-5g-desafios-posibilidades,Essential
/pe/resources/reports/state-of-work,Essential
/ph_en/products/workfront/get-demo,Full
/ph_en/resources/enterprise-project-management,Essential
/ph_en/resources/reports/state-of-work,Essential
/ph_fil/products/workfront/get-demo,Full
/ph_fil/resources/enterprise-project-management,Essential
/ph_fil/resources/reports/state-of-work,Essential
/pl/products/workfront/get-demo,Full
/pl/resources/enterprise-project-management,Essential
/products/workfront/get-demo,Full
/pt/products/workfront/get-demo,Full
/pt/resources/enterprise-project-management,Essential
/resources/2021-state-work,Essential
/resources/articles/agile-marketing-for-creative-teams,Essential
/resources/articles/enterprise-resource-management-the-complete-guide-to-managing-talent-and-time,Essential
/resources/articles/from-creative-services-to-in-house-agency,Essential
/resources/articles/get-time-back-to-work-on-what-is-most-important,Essential
/resources/articles/how-to-build-a-business-case-for-an-online-proofing-solution,Essential
/resources/articles/how-to-manage-compliance-workflows-and-mitigate-risk,Essential
/resources/articles/how-to-review-proofs-with-workfront-proofing,Essential
/resources/articles/measure-and-analyzing-work,Essential
/resources/articles/process-creativity-and-the-need-for-speed,Essential
/resources/articles/the-advanced-guide-to-agile-marketing,Essential
/resources/articles/the-complete-guide-to-planning-creative-projects,Essential
/resources/articles/the-complete-guide-to-resource-management-for-creative-teams,Essential
/resources/articles/the-definitive-guide-to-online-proofing,Essential
/resources/complete-guide-work-management-marketers-game-changing-playbook-way-marketers-work,Essential
/resources/digital-trends-work-management-report1,Essential
/resources/ebooks/10-work-management-problems-it-execs-face-and-how-to-solve-them,Essential
/resources/ebooks/20-experts-share-secrets-for-balancing-agile-and-waterfall,Essential
/resources/ebooks/3-steps-to-streamline-it-operations-and-connect-strategy-to-execution,Essential
